data,acoes_81,bh_81,acoes_6,bh_6,calls_6_spread,calls_6_mid,cdi
2026-09-10,99766.67,99700.0,99700.0,99700.0,97285.19,100000.0,100000.0
2026-09-11,99023.37,98521.84,99553.09,99553.09,96583.52,99062.93,100051.66
2026-09-14,98321.99,97587.27,98179.09,98179.09,95913.84,98219.42,100103.35
2026-09-15,98537.81,97875.52,98573.56,98573.56,96505.47,98937.08,100155.06
2026-09-16,98682.42,98073.56,98062.7,98109.21,95714.57,98036.57,100206.8
2026-09-17,98294.08,97518.35,98094.39,98453.79,96038.6,98489.38,100257.69
2026-09-18,98301.7,97340.56,98056.02,98165.42,95719.24,98065.98,100308.61
2026-09-21,99678.03,99123.14,98322.51,98249.88,95858.34,98288.07,100359.56
